pixel,mlat,mlon,area_km,Mn.Avg.Dens,Mn.CV.Dens
1235,30.6,237.8,106.3178819,0.000292676,0.275292306
1236,30.6,237.9,106.3178819,0.000280001,0.269228571
1237,30.6,238,106.3178819,0.000219125,0.260038445
1238,30.6,238.1,106.3178819,0.000140164,0.257615826
1239,30.6,238.2,106.3178819,0.000131308,0.254584826
1240,30.6,238.3,106.3178819,0.000158451,0.248002863
1241,30.6,238.4,106.3178819,0.000147663,0.249674739
1242,30.6,238.5,106.3178819,0.000125481,0.258388169
1243,30.6,238.6,106.3178819,9.24E-05,0.265317596
1244,30.6,238.7,106.3178819,7.98E-05,0.268368032
1245,30.6,238.8,106.3178819,6.58E-05,0.269641793
1399,30.7,235.6,106.2101609,2.11E-08,0.257665206
1400,30.7,235.7,106.2101609,4.42E-08,0.246682376
1401,30.7,235.8,106.2101609,9.69E-08,0.242693128
1402,30.7,235.9,106.2101609,2.09E-07,0.237162771
1403,30.7,236,106.2101609,4.22E-07,0.237209803
1404,30.7,236.1,106.2101609,8.61E-07,0.244171427
1405,30.7,236.2,106.2101609,1.59E-06,0.243102303
1406,30.7,236.3,106.2101609,2.91E-06,0.239975266
1407,30.7,236.4,106.2101609,4.87E-06,0.23844151
1408,30.7,236.5,106.2101609,8.84E-06,0.236994263
1409,30.7,236.6,106.2101609,1.46E-05,0.237260235
1410,30.7,236.7,106.2101609,1.73E-05,0.240349203
1411,30.7,236.8,106.2101609,2.18E-05,0.242396621
1412,30.7,236.9,106.2101609,4.83E-05,0.246415132
1413,30.7,237,106.2101609,8.14E-05,0.255288982
1414,30.7,237.1,106.2101609,0.0001198,0.259439158
1415,30.7,237.2,106.2101609,0.000158646,0.262570778
1416,30.7,237.3,106.2101609,0.000189962,0.267995122
1417,30.7,237.4,106.2101609,0.00021056,0.273300089
1418,30.7,237.5,106.2101609,0.000228138,0.280457378
1419,30.7,237.6,106.2101609,0.000268189,0.282860023
1420,30.7,237.7,106.2101609,0.000284215,0.282625734
1421,30.7,237.8,106.2101609,0.000279692,0.279012813
1422,30.7,237.9,106.2101609,0.000285695,0.272664706
1423,30.7,238,106.2101609,0.00027591,0.265587312
1424,30.7,238.1,106.2101609,0.00024167,0.264642576
1425,30.7,238.2,106.2101609,0.000216903,0.260729944
1426,30.7,238.3,106.2101609,0.000171156,0.254805045
1427,30.7,238.4,106.2101609,0.000157824,0.25285084
1428,30.7,238.5,106.2101609,0.00013305,0.254828456
1429,30.7,238.6,106.2101609,9.71E-05,0.260495982
1430,30.7,238.7,106.2101609,8.66E-05,0.265125844
1431,30.7,238.8,106.2101609,7.25E-05,0.266980126
1432,30.7,238.9,106.2101609,5.88E-05,0.27287717
1433,30.7,239,106.2101609,5.21E-05,0.271208641
1434,30.7,239.1,106.2101609,4.30E-05,0.272837859
1435,30.7,239.2,106.2101609,3.79E-05,0.277720526
1436,30.7,239.3,106.2101609,3.21E-05,0.285321704
1437,30.7,239.4,106.2101609,3.09E-05,0.291265708
1584,30.8,235.5,106.1021161,1.37E-08,0.270355451
1585,30.8,235.6,106.1021161,2.89E-08,0.259979564
1586,30.8,235.7,106.1021161,5.57E-08,0.249695808
1587,30.8,235.8,106.1021161,1.22E-07,0.246494796
1588,30.8,235.9,106.1021161,2.53E-07,0.24242883
1589,30.8,236,106.1021161,4.91E-07,0.241294656
1590,30.8,236.1,106.1021161,1.00E-06,0.245148176
1591,30.8,236.2,106.1021161,1.70E-06,0.245486426
1592,30.8,236.3,106.1021161,3.16E-06,0.24551684
1593,30.8,236.4,106.1021161,5.43E-06,0.245481865
1594,30.8,236.5,106.1021161,9.17E-06,0.245138653
1595,30.8,236.6,106.1021161,1.52E-05,0.243371133
1596,30.8,236.7,106.1021161,2.47E-05,0.245614348
1597,30.8,236.8,106.1021161,3.43E-05,0.24757683
1598,30.8,236.9,106.1021161,5.95E-05,0.250911412
1599,30.8,237,106.1021161,8.08E-05,0.251569278
1600,30.8,237.1,106.1021161,0.000112824,0.253675811
1601,30.8,237.2,106.1021161,0.000141803,0.257642975
1602,30.8,237.3,106.1021161,0.000162669,0.266100173
1603,30.8,237.4,106.1021161,0.000192244,0.273351377
1604,30.8,237.5,106.1021161,0.000223168,0.278926052
1605,30.8,237.6,106.1021161,0.00023548,0.27581302
1606,30.8,237.7,106.1021161,0.000268655,0.282735281
1607,30.8,237.8,106.1021161,0.000271691,0.279972571
1608,30.8,237.9,106.1021161,0.0002785,0.275116986
1609,30.8,238,106.1021161,0.000273896,0.269950192
1610,30.8,238.1,106.1021161,0.000252509,0.267601323
1611,30.8,238.2,106.1021161,0.00023239,0.264848633
1612,30.8,238.3,106.1021161,0.000206118,0.262464191
1613,30.8,238.4,106.1021161,0.000176359,0.257862684
1614,30.8,238.5,106.1021161,0.000149042,0.255857525
1615,30.8,238.6,106.1021161,0.000116559,0.258435835
1616,30.8,238.7,106.1021161,9.42E-05,0.261786871
1617,30.8,238.8,106.1021161,9.07E-05,0.261038606
1618,30.8,238.9,106.1021161,7.10E-05,0.266562038
1619,30.8,239,106.1021161,6.20E-05,0.265896185
1620,30.8,239.1,106.1021161,5.13E-05,0.270036553
1621,30.8,239.2,106.1021161,4.47E-05,0.279155693
1622,30.8,239.3,106.1021161,3.71E-05,0.287653397
1623,30.8,239.4,106.1021161,3.69E-05,0.290604744
1624,30.8,239.5,106.1021161,3.30E-05,0.290954775
1625,30.8,239.6,106.1021161,3.21E-05,0.29109016
1626,30.8,239.7,106.1021161,3.14E-05,0.295036111
1627,30.8,239.8,106.1021161,3.17E-05,0.297020391
1628,30.8,239.9,106.1021161,3.02E-05,0.296888925
1769,30.9,235.4,105.9937478,9.46E-09,0.278451279
1770,30.9,235.5,105.9937478,1.82E-08,0.270273969
1771,30.9,235.6,105.9937478,3.50E-08,0.260201441
1772,30.9,235.7,105.9937478,7.55E-08,0.254304246
1773,30.9,235.8,105.9937478,1.60E-07,0.249833247
1774,30.9,235.9,105.9937478,3.12E-07,0.245981905
1775,30.9,236,105.9937478,6.23E-07,0.245281054
1776,30.9,236.1,105.9937478,1.13E-06,0.246877632
1777,30.9,236.2,105.9937478,1.78E-06,0.250387722
1778,30.9,236.3,105.9937478,3.51E-06,0.251870567
1779,30.9,236.4,105.9937478,6.13E-06,0.253904982
1780,30.9,236.5,105.9937478,1.04E-05,0.255146087
1781,30.9,236.6,105.9937478,1.67E-05,0.255236606
1782,30.9,236.7,105.9937478,2.52E-05,0.25562734
1783,30.9,236.8,105.9937478,3.94E-05,0.256196526
1784,30.9,236.9,105.9937478,6.16E-05,0.256054116
1785,30.9,237,105.9937478,6.78E-05,0.256002049
1786,30.9,237.1,105.9937478,0.000104815,0.256321754
1787,30.9,237.2,105.9937478,0.000133436,0.2583278
1788,30.9,237.3,105.9937478,0.000175586,0.261900399
1789,30.9,237.4,105.9937478,0.000194323,0.26823549
1790,30.9,237.5,105.9937478,0.000214734,0.275567008
1791,30.9,237.6,105.9937478,0.000232137,0.282916568
1792,30.9,237.7,105.9937478,0.000265644,0.291186835
1793,30.9,237.8,105.9937478,0.000266575,0.287096593
1794,30.9,237.9,105.9937478,0.000274329,0.284122439
1795,30.9,238,105.9937478,0.000250944,0.281068877
1796,30.9,238.1,105.9937478,0.000232602,0.278878526
1797,30.9,238.2,105.9937478,0.000213683,0.276043279
1798,30.9,238.3,105.9937478,0.000203145,0.272789634
1799,30.9,238.4,105.9937478,0.00017012,0.264907031
1800,30.9,238.5,105.9937478,0.00015033,0.256233645
1801,30.9,238.6,105.9937478,0.000117116,0.25553149
1802,30.9,238.7,105.9937478,0.000102449,0.259495879
1803,30.9,238.8,105.9937478,9.45E-05,0.257463149
1804,30.9,238.9,105.9937478,7.99E-05,0.26286652
1805,30.9,239,105.9937478,6.72E-05,0.266626705
