"area_m2","X","Y","Nhat","CV"
3063123.84987364,1058704.42532148,552223.90382998,0.207190025605,0.676736197000672
11002624.9840008,1058432.09076578,549511.64757922,0.766359832677547,0.675397816925988
2419287.34057642,1059208.85631069,545275.53830423,0.171725919005244,0.66727627500184
398899.370178919,1064321.7092721,556773.45337954,0.022884441041358,0.65309872471815
19294506.7249877,1062519.72725358,553564.28783993,1.18430533155668,0.657856033657419
2.5e+07,1062170.24266844,549019.11819841,1.60760312264688,0.654383618497282
21325153.5257714,1062370.56077714,544343.47446814,1.42094106403419,0.648880667728927
3113521.12101821,1064160.25850146,540065.08887358,0.206744661654287,0.635839210092378
1872834.12126644,1068950.98037719,592325.0252533,0.071690998940644,0.727545766640712
4730637.49938937,1068919.61477092,589580.67669217,0.185561510593795,0.718151397363861
12936177.5688436,1067757.83010779,558027.16865353,0.679834877138321,0.638283685457966
25000000.0000501,1067170.24266844,554019.11819842,1.37684693795702,0.634862222178617
2.5e+07,1067170.24266844,549019.11819841,1.43632500263071,0.628193373579986
2.5e+07,1067170.24266844,544019.11819841,1.49898082685365,0.622773506258748
23059823.9428605,1067304.04052981,539189.09862225,1.43710779736462,0.618111786563834
3454421.72946485,1068795.14030053,535632.99230459,0.214684229800718,0.607974543422191
5025084.68299828,1071815.17559718,602612.12545335,0.16505061006369,0.756859476632526
9428865.61985328,1073357.4816862,599102.69817593,0.30847592085061,0.739136773309624
11991083.0329779,1072818.46708061,593565.79206037,0.416567036125114,0.719908305215949
13156839.2087764,1072671.49308727,589683.17075675,0.474210236530911,0.706347584391183
8093502.28165844,1073268.72720332,584873.32456417,0.300001145436169,0.68771582554726
3539071.11646833,1073672.24780478,579168.29133467,0.136486966676291,0.667379955115522
2041300.66975926,1072123.00616206,562076.59495622,0.094024221924466,0.626220913160412
14447195.6383972,1071542.87984947,558726.97619613,0.693241969219935,0.622002182048349
24262664.3780812,1072159.01649128,553954.35423652,1.19488632664353,0.610823254453565
24531767.3603707,1072182.58541804,549023.61408262,1.25867826965288,0.603381433585116
2.5e+07,1072170.24266844,544019.11819841,1.33890151998638,0.597268065253256
2.5e+07,1072170.24266844,539019.11819841,1.39779453025685,0.592518037693148
22695065.6111626,1072364.79734804,534183.93660602,1.31765225330013,0.588390109213103
5065578.46115523,1073679.15211392,530374.78539106,0.295208088309578,0.58010580703487
1341447.12068776,1074276.30257161,517914.934654,0.086223769906965,0.577903826620734
2.01400703319585,1074669.7504913,516518.20885687,1.29947001e-07,0.576403117979102
594607.232157263,1074961.33550829,596983.70626302,0.019116197902562,0.726689206637131
978051.297901485,1074948.44472263,595734.39679244,0.031794759963493,0.721962472810157
14978149.1434867,1076832.22532018,588991.09381251,0.494755419046956,0.691600826264154
879882.382214129,1075072.45432889,586031.15893842,0.0310130444277,0.686101188269404
1035511.72252163,1075068.32161722,577117.26481749,0.039379828543738,0.656035328303381
10725384.9161552,1077870.85109744,573956.7536239,0.393223904368326,0.636595646583487
8876096.05670995,1078573.04303908,568931.66127571,0.334000316320209,0.618907559519857
3362450.2092434,1079011.69086673,565007.42139595,0.129425614684139,0.606461478520616
18427613.5638991,1077496.21066181,558872.20403891,0.772291862457331,0.597280520575345
16648819.2220672,1077045.75709422,554579.80678027,0.730522226126114,0.590489623877295
22979976.7006109,1077104.51413525,548847.32466362,1.05664014205447,0.580591094608038
2.5e+07,1077170.24266844,544019.11819841,1.19589471085021,0.573554758614247
2.5e+07,1077170.24266844,539019.11819841,1.24843169909559,0.568044432903228
2.5e+07,1077170.24266844,534019.11819841,1.30393988208347,0.564213674526266
23428089.6722871,1077292.79132588,529150.97079813,1.27192870684677,0.561513547539955
3967654.89838221,1078443.00538438,525788.96019169,0.216250816390657,0.555253465088877
6526974.47685793,1076765.93716741,517267.8727116,0.398952365415121,0.565055819350172
10694371.526201,1078117.1201485,514945.2097822,0.647637230331074,0.559059297681074
139809.222398661,1079534.89774198,511289.3065147,0.008480530981335,0.553677138403865
12540336.7616168,1082183.24231487,587969.64562467,0.370504987303509,0.673813688505826
1896887.4447526,1083517.84218873,584841.17976403,0.055852896738564,0.658702703374761
1902356.52748203,1084307.78411123,579964.35509738,0.057343884877637,0.63865561370605
7194682.7570861,1081491.06766018,574633.81576012,0.241704525074893,0.62761155986607
10445098.8745928,1081040.51498185,568314.411798,0.373656442843993,0.609021631390064
23520753.4435079,1082160.07112814,564049.04804681,0.8499682010894,0.593358882140982
20947820.5645739,1081880.02043682,558803.78076427,0.795680875377826,0.581041974905958
24852761.5487894,1082162.0156928,554012.91442768,0.976214938838615,0.569580150887328
22630230.826876,1082110.63900784,549155.28285728,0.926989437638565,0.560552284009813
2.5e+07,1082170.24266844,544019.11819841,1.06826497065641,0.552021450091831
2.5e+07,1082170.24266844,539019.11819841,1.11515463768252,0.545624732691825
2.5e+07,1082170.24266844,534019.11819841,1.16471813976727,0.541063132996476
2.5e+07,1082170.24266844,529019.11819841,1.2171598060323,0.538340065935232
22226168.1608568,1082392.02846869,524217.72018975,1.1238316668134,0.536260664011858
19205478.6212784,1082635.59946556,518672.21196892,1.01541620982759,0.535439303405458
24698310.2426505,1082159.50554286,514040.18643656,1.37697672540055,0.539112796419023
18583877.0983378,1082309.30393689,509309.48446621,1.07867096126547,0.54071329852271
10072852.3882691,1083158.00553235,504204.72482919,0.601563088383787,0.539904884088503
236436.094254684,1084276.76290525,501142.36048784,0.014172311783177,0.53670607616703
456019.469942298,1084252.76760187,407355.80927033,0.067970717491178,0.796224699256642
